C,NEMP.WORLD,GSH_BENCHMARK_PRICE_FIRM_WEB,AEMO,PUBLIC,2020/03/01,19:30:07,0000000319759750,GSH,0000000319759749
D,GSH,BENCHMARK_PRICE,1,"2019/12/21 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/20 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2019/12/21 00:00:00",SEQ,"Gas - NG DA Days",6,1,"2019/12/20 19:30:01"
D,GSH,BENCHMARK_PRICE,1,"2019/12/20 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/19 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/20 00:00:00",SEQ,"Gas - NG DA Days",6,1,"2019/12/19 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/19 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/18 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2019/12/19 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/18 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2019/12/18 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/17 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/18 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/17 19:30:06"
D,GSH,BENCHMARK_PRICE,1,"2019/12/17 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/16 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2019/12/17 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/16 19:30:02"
D,GSH,BENCHMARK_PRICE,1,"2019/12/16 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/15 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2019/12/16 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/15 19:30:08"
D,GSH,BENCHMARK_PRICE,1,"2019/12/15 00:00:00",WAL,"Gas - NG DA Days",7,1,"2019/12/14 19:30:05"
D,GSH,BENCHMARK_PRICE,1,"2019/12/15 00:00:00",SEQ,"Gas - NG DA Days",6.10,1,"2019/12/14 19:30:05"
